USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
RI	4403520	02378100	Ashaway CDP	57	S	6148842	108207	2.374	0.042	41.428019	-71.786214                                                                                                                    
RI	4408020	02378102	Bradford CDP	57	S	4706843	39515	1.817	0.015	41.388997	-71.764416                                                                                                                    
RI	4412340	02631328	Carolina CDP	57	S	6374410	53734	2.461	0.021	41.459421	-71.654223                                                                                                                    
RI	4414140	01220067	Central Falls city	25	A	3092443	208466	1.194	0.08	41.890064	-71.393481                                                                                                              
RI	4414320	02631329	Charlestown CDP	57	S	5861532	1489579	2.263	0.575	41.378069	-71.626563                                                                                                               
RI	4414860	02631330	Chepachet CDP	57	S	14265493	306019	5.508	0.118	41.910845	-71.662087                                                                                                                 
RI	4415940	02631331	Clayville CDP	57	S	4465397	49693	1.724	0.019	41.769165	-71.692106                                                                                                                   
RI	4419180	01220069	Cranston city	25	A	73413573	4331474	28.345	1.672	41.769734	-71.485049                                                                                                               
RI	4420260	02378104	Cumberland Hill CDP	57	S	8238052	515431	3.181	0.199	41.97496	-71.46003                                                                                                              
RI	4422960	01220071	East Providence city	25	A	34406028	8602870	13.284	3.322	41.800433	-71.359258                                                                                                        
RI	4427640	02631333	Foster Center CDP	57	S	5614385	37467	2.168	0.014	41.789961	-71.731589                                                                                                               
RI	4431240	02631334	Greene CDP	57	S	15732648	44570	6.074	0.017	41.704727	-71.728067                                                                                                                     
RI	4431600	02378105	Greenville CDP	57	S	14395778	1483563	5.558	0.573	41.879933	-71.552415                                                                                                               
RI	4433040	02629815	Harmony CDP	57	S	7623134	60016	2.943	0.023	41.899366	-71.609131                                                                                                                     
RI	4433400	02378106	Harrisville CDP	57	S	2103497	111893	0.812	0.043	41.967496	-71.677124                                                                                                                
RI	4434660	02378107	Hope Valley CDP	57	S	8602919	527609	3.322	0.204	41.514055	-71.72056                                                                                                                 
RI	4435200	02631335	Hopkinton CDP	57	S	8552003	13185	3.302	0.005	41.466945	-71.781088                                                                                                                   
RI	4438980	02378108	Kingston CDP	57	S	4031317	17479	1.557	0.007	41.473179	-71.524124                                                                                                                    
RI	4445010	02378109	Melville CDP	57	S	5433584	7852821	2.098	3.032	41.559549	-71.301933                                                                                                                  
RI	4446000	02631337	Misquamicut CDP	57	S	3037352	193344	1.173	0.075	41.320087	-71.827067                                                                                                                
RI	4448700	02378110	Narragansett Pier CDP	57	S	9237826	1352033	3.567	0.522	41.426994	-71.466525                                                                                                         
RI	4449960	01220064	Newport city	25	A	19828477	9630691	7.656	3.718	41.476681	-71.319627                                                                                                                 
RI	4450140	02378111	Newport East CDP	57	S	14901338	526815	5.753	0.203	41.515892	-71.286553                                                                                                              
RI	4454460	02378113	Pascoag CDP	57	S	13129346	1275739	5.069	0.493	41.953752	-71.704381                                                                                                                  
RI	4454640	01219816	Pawtucket city	25	A	22447899	770318	8.667	0.297	41.874824	-71.373323                                                                                                                
RI	4459000	01220076	Providence city	25	A	47670949	5643960	18.406	2.179	41.823056	-71.418784                                                                                                             
RI	4460260	02631339	Quonochontaug CDP	57	S	3480361	520422	1.344	0.201	41.345082	-71.704659                                                                                                              
RI	4470700	02378114	Tiverton CDP	57	S	10824751	6327790	4.179	2.443	41.654015	-71.200391                                                                                                                 
RI	4472500	02378115	Valley Falls CDP	57	S	9189161	322855	3.548	0.125	41.9235	-71.390498                                                                                                                 
RI	4473132	02378116	Wakefield-Peace Dale CDP	57	S	12769245	689659	4.93	0.266	41.446096	-71.500318                                                                                                       
RI	4474300	01220058	Warwick city	25	A	90651843	38201441	35.001	14.75	41.703085	-71.42031                                                                                                                
RI	4475200	02631341	Watch Hill CDP	57	S	2076242	37519	0.802	0.014	41.315381	-71.846809                                                                                                                  
RI	4475920	02631342	Weekapaug CDP	57	S	3011187	93017	1.163	0.036	41.337424	-71.761921                                                                                                                   
RI	4476820	02378117	Westerly CDP	57	S	41010350	1779827	15.834	0.687	41.373301	-71.806783                                                                                                                
RI	4480780	01220079	Woonsocket city	25	A	20062373	502381	7.746	0.194	42.001708	-71.499947                                                                                                               
RI	4480960	02629816	Wyoming CDP	57	S	2233182	115607	0.862	0.045	41.513472	-71.689088                                                                                                                    
